1,2025-02-10 11:12:13.122000,Daždivé,12.5,2025-02-10 11:42:13.122000,Oblačno
517,2024-08-17 01:00:00.000000,Sucho,32.2,2024-08-17 14:15:00.000000,Slnečno
518,2024-03-21 01:00:00.000000,Búrky,16.4,2024-03-21 11:20:00.000000,Hmla
519,2024-06-14 01:00:00.000000,Horúčavy,38.2,2024-06-14 12:58:00.000000,Dusno
520,2024-12-08 01:00:00.000000,Husté sneženie,-9.7,2024-12-08 06:27:00.000000,Poľadovica
521,2024-11-20 01:00:00.000000,Mierne sneženie,9.2,2024-11-20 09:33:00.000000,Hmla
522,2024-03-25 01:00:00.000000,Polooblačno,0.1,2024-03-25 09:58:00.000000,Búrky
523,2024-11-09 01:00:00.000000,Zamračené,13.9,2024-11-09 14:30:00.000000,Mierne sneženie
524,2024-02-19 01:00:00.000000,Mráz,-10.5,2024-02-19 15:22:00.000000,Husté sneženie
525,2024-02-29 01:00:00.000000,Poľadovica,-0.4,2024-02-29 17:23:00.000000,Zamračené
526,2024-03-22 01:00:00.000000,Polooblačno,11.7,2024-03-22 16:10:00.000000,Búrky
527,2024-07-14 01:00:00.000000,Letná búrka,25,2024-07-14 14:49:00.000000,Sucho
528,2024-11-15 01:00:00.000000,Mierne sneženie,14.8,2024-11-15 12:47:00.000000,Hmla
529,2024-11-06 01:00:00.000000,Mierne sneženie,5.5,2024-11-06 15:20:00.000000,Hmla
530,2024-12-13 01:00:00.000000,Zamračené,-15,2024-12-13 09:25:00.000000,Sneženie
531,2024-11-15 01:00:00.000000,Mierne sneženie,0.5,2024-11-15 06:11:00.000000,Hmla
532,2024-08-01 01:00:00.000000,Horúčavy,38.7,2024-08-01 06:33:00.000000,Dusno
533,2025-01-25 01:00:00.000000,Poľadovica,1.1,2025-01-25 09:19:00.000000,Zamračené
534,2024-04-16 01:00:00.000000,Prehánky,19.7,2024-04-16 09:27:00.000000,Polooblačno
535,2024-07-19 01:00:00.000000,Slnečno,38.5,2024-07-19 13:23:00.000000,Horúčavy
536,2024-04-04 01:00:00.000000,Búrky,9.5,2024-04-04 12:58:00.000000,Hmla
537,2024-10-15 01:00:00.000000,Zamračené,5.3,2024-10-15 13:02:00.000000,Mierne sneženie
538,2024-07-03 01:00:00.000000,Dusno,34,2024-07-03 12:11:00.000000,Letná búrka
539,2024-06-14 01:00:00.000000,Letná búrka,28.1,2024-06-14 14:52:00.000000,Sucho
540,2024-08-20 01:00:00.000000,Sucho,33,2024-08-20 12:49:00.000000,Slnečno
541,2024-07-08 01:00:00.000000,Sucho,27.2,2024-07-08 16:20:00.000000,Slnečno
542,2024-11-02 01:00:00.000000,Veterno,5.2,2024-11-02 17:52:00.000000,Zamračené
543,2024-02-20 01:00:00.000000,Mráz,-3.1,2024-02-20 08:56:00.000000,Husté sneženie
544,2024-08-13 01:00:00.000000,Horúčavy,36.7,2024-08-13 07:10:00.000000,Dusno
545,2025-01-10 01:00:00.000000,Sneženie,1.3,2025-01-10 16:39:00.000000,Mráz
546,2024-11-28 01:00:00.000000,Zamračené,4,2024-11-28 12:34:00.000000,Mierne sneženie
547,2024-05-03 01:00:00.000000,Hmla,12,2024-05-03 11:16:00.000000,Dážď
548,2024-04-03 01:00:00.000000,Prehánky,12,2024-04-03 12:08:00.000000,Polooblačno
549,2024-10-27 01:00:00.000000,Veterno,11.6,2024-10-27 10:36:00.000000,Zamračené
550,2024-07-26 01:00:00.000000,Sucho,33,2024-07-26 12:55:00.000000,Slnečno
551,2024-12-29 01:00:00.000000,Poľadovica,-12.8,2024-12-29 16:33:00.000000,Zamračené
552,2024-06-21 01:00:00.000000,Letná búrka,27,2024-06-21 14:48:00.000000,Sucho
553,2024-09-12 01:00:00.000000,Hmla,14.5,2024-09-12 16:09:00.000000,Daždivo
554,2024-08-01 01:00:00.000000,Horúčavy,27,2024-08-01 12:55:00.000000,Dusno
555,2024-10-07 01:00:00.000000,Mierne sneženie,13,2024-10-07 06:42:00.000000,Hmla
556,2025-01-26 01:00:00.000000,Poľadovica,3.7,2025-01-26 13:38:00.000000,Zamračené
557,2024-07-08 01:00:00.000000,Letná búrka,24.7,2024-07-08 09:12:00.000000,Sucho
558,2024-06-26 01:00:00.000000,Horúčavy,23.4,2024-06-26 17:26:00.000000,Dusno
559,2024-11-05 01:00:00.000000,Zamračené,5.7,2024-11-05 13:53:00.000000,Mierne sneženie
560,2024-05-14 01:00:00.000000,Búrky,14.3,2024-05-14 17:44:00.000000,Hmla
561,2024-03-23 01:00:00.000000,Polooblačno,0.3,2024-03-23 12:21:00.000000,Búrky
562,2024-07-02 01:00:00.000000,Horúčavy,16.1,2024-07-02 07:25:00.000000,Dusno
563,2024-08-17 01:00:00.000000,Dusno,16.8,2024-08-17 07:38:00.000000,Letná búrka
564,2024-04-20 01:00:00.000000,Dážď,4.3,2024-04-20 09:31:00.000000,Prehánky
565,2025-01-03 01:00:00.000000,Mráz,-6,2025-01-03 10:08:00.000000,Husté sneženie
566,2025-01-14 01:00:00.000000,Husté sneženie,-4.2,2025-01-14 07:10:00.000000,Poľadovica
567,2024-10-15 01:00:00.000000,Zamračené,9.4,2024-10-15 10:52:00.000000,Mierne sneženie
568,2024-07-28 01:00:00.000000,Horúčavy,16.6,2024-07-28 07:08:00.000000,Dusno
569,2024-06-22 01:00:00.000000,Dusno,33.8,2024-06-22 14:05:00.000000,Letná búrka
570,2024-03-09 01:00:00.000000,Búrky,5.3,2024-03-09 10:48:00.000000,Hmla
571,2025-01-14 01:00:00.000000,Husté sneženie,2.8,2025-01-14 08:20:00.000000,Poľadovica
572,2024-08-28 01:00:00.000000,Letná búrka,37.7,2024-08-28 11:29:00.000000,Sucho
573,2024-07-05 01:00:00.000000,Horúčavy,19.1,2024-07-05 13:42:00.000000,Dusno
574,2024-04-01 01:00:00.000000,Polooblačno,11.7,2024-04-01 11:52:00.000000,Búrky
575,2024-04-14 01:00:00.000000,Hmla,0.6,2024-04-14 16:10:00.000000,Dážď
576,2024-11-25 01:00:00.000000,Daždivo,0.5,2024-11-25 17:42:00.000000,Veterno
577,2025-01-22 01:00:00.000000,Poľadovica,-10.1,2025-01-22 15:20:00.000000,Zamračené
578,2024-12-02 01:00:00.000000,Poľadovica,-6.9,2024-12-02 12:21:00.000000,Zamračené
579,2024-05-05 01:00:00.000000,Prehánky,15.4,2024-05-05 17:30:00.000000,Polooblačno
580,2024-04-10 01:00:00.000000,Búrky,4.3,2024-04-10 11:41:00.000000,Hmla
581,2024-09-11 01:00:00.000000,Veterno,12.4,2024-09-11 13:27:00.000000,Zamračené
582,2024-05-03 01:00:00.000000,Dážď,11.1,2024-05-03 14:37:00.000000,Prehánky
583,2025-02-03 01:00:00.000000,Husté sneženie,3.1,2025-02-03 07:30:00.000000,Poľadovica
584,2024-03-15 01:00:00.000000,Hmla,6.1,2024-03-15 08:55:00.000000,Dážď
585,2024-09-18 01:00:00.000000,Daždivo,2.5,2024-09-18 10:54:00.000000,Veterno
586,2025-01-29 01:00:00.000000,Husté sneženie,-13.3,2025-01-29 09:44:00.000000,Poľadovica
587,2024-05-29 01:00:00.000000,Prehánky,12.4,2024-05-29 08:58:00.000000,Polooblačno
588,2024-06-21 01:00:00.000000,Letná búrka,35.4,2024-06-21 13:13:00.000000,Sucho
589,2025-01-08 01:00:00.000000,Mráz,2.2,2025-01-08 15:02:00.000000,Husté sneženie
590,2024-09-03 01:00:00.000000,Zamračené,7.8,2024-09-03 08:45:00.000000,Mierne sneženie
591,2024-11-06 01:00:00.000000,Hmla,5.9,2024-11-06 12:20:00.000000,Daždivo
592,2024-06-29 01:00:00.000000,Horúčavy,37.9,2024-06-29 10:57:00.000000,Dusno
593,2024-08-30 01:00:00.000000,Letná búrka,21.2,2024-08-30 07:00:00.000000,Sucho
594,2024-11-02 01:00:00.000000,Mierne sneženie,12.2,2024-11-02 15:24:00.000000,Hmla
595,2024-09-19 01:00:00.000000,Veterno,13.4,2024-09-19 09:55:00.000000,Zamračené
596,2024-07-11 01:00:00.000000,Horúčavy,36.7,2024-07-11 11:56:00.000000,Dusno
597,2024-07-30 01:00:00.000000,Dusno,36.1,2024-07-30 11:47:00.000000,Letná búrka
598,2024-05-03 01:00:00.000000,Búrky,19.1,2024-05-03 16:14:00.000000,Hmla
599,2024-10-05 01:00:00.000000,Zamračené,12,2024-10-05 07:43:00.000000,Mierne sneženie
600,2024-05-15 01:00:00.000000,Prehánky,6.8,2024-05-15 16:05:00.000000,Polooblačno
601,2024-12-02 01:00:00.000000,Mráz,-10.8,2024-12-02 14:58:00.000000,Husté sneženie
602,2024-05-19 01:00:00.000000,Búrky,5,2024-05-19 11:14:00.000000,Hmla
603,2024-02-29 01:00:00.000000,Poľadovica,3.9,2024-02-29 12:47:00.000000,Zamračené
604,2024-02-15 01:00:00.000000,Poľadovica,4.3,2024-02-15 07:52:00.000000,Zamračené
605,2025-01-11 01:00:00.000000,Sneženie,-7,2025-01-11 13:47:00.000000,Mráz
606,2024-10-13 01:00:00.000000,Mierne sneženie,4.2,2024-10-13 07:54:00.000000,Hmla
607,2024-12-13 01:00:00.000000,Mráz,3.9,2024-12-13 15:30:00.000000,Husté sneženie
608,2024-10-07 01:00:00.000000,Daždivo,1.7,2024-10-07 10:31:00.000000,Veterno
609,2024-12-24 01:00:00.000000,Sneženie,4.3,2024-12-24 10:20:00.000000,Mráz
610,2025-01-24 01:00:00.000000,Mráz,2.9,2025-01-24 08:04:00.000000,Husté sneženie
611,2025-01-22 01:00:00.000000,Poľadovica,-9.5,2025-01-22 13:04:00.000000,Zamračené
612,2024-03-20 01:00:00.000000,Prehánky,14.3,2024-03-20 13:11:00.000000,Polooblačno
613,2024-11-29 01:00:00.000000,Hmla,6.4,2024-11-29 07:30:00.000000,Daždivo
614,2025-02-08 01:00:00.000000,Sneženie,-13.7,2025-02-08 08:12:00.000000,Mráz
615,2024-07-26 01:00:00.000000,Dusno,36,2024-07-26 12:48:00.000000,Letná búrka
616,2024-07-30 01:00:00.000000,Horúčavy,27.8,2024-07-30 07:52:00.000000,Dusno
617,2024-04-23 01:00:00.000000,Dážď,6.1,2024-04-23 13:44:00.000000,Prehánky
618,2024-10-14 01:00:00.000000,Zamračené,11.2,2024-10-14 14:54:00.000000,Mierne sneženie
619,2024-08-02 01:00:00.000000,Horúčavy,17.5,2024-08-02 07:50:00.000000,Dusno
620,2024-09-09 01:00:00.000000,Mierne sneženie,12,2024-09-09 11:49:00.000000,Hmla
621,2024-10-25 01:00:00.000000,Zamračené,13.1,2024-10-25 10:13:00.000000,Mierne sneženie
622,2024-06-05 01:00:00.000000,Slnečno,29,2024-06-05 15:08:00.000000,Horúčavy
623,2025-01-08 01:00:00.000000,Poľadovica,-6.9,2025-01-08 12:49:00.000000,Zamračené
624,2024-06-03 01:00:00.000000,Sucho,31.3,2024-06-03 11:59:00.000000,Slnečno
625,2024-06-16 01:00:00.000000,Letná búrka,19.8,2024-06-16 06:14:00.000000,Sucho
626,2024-02-24 01:00:00.000000,Poľadovica,-3,2024-02-24 08:38:00.000000,Zamračené
627,2024-09-20 01:00:00.000000,Hmla,5.8,2024-09-20 06:53:00.000000,Daždivo
628,2024-08-09 01:00:00.000000,Slnečno,23.7,2024-08-09 06:15:00.000000,Horúčavy
629,2024-07-17 01:00:00.000000,Letná búrka,32.9,2024-07-17 09:26:00.000000,Sucho
630,2024-09-06 01:00:00.000000,Daždivo,1,2024-09-06 13:27:00.000000,Veterno
631,2024-05-21 01:00:00.000000,Búrky,0.1,2024-05-21 15:21:00.000000,Hmla
632,2024-07-16 01:00:00.000000,Dusno,19.4,2024-07-16 08:58:00.000000,Letná búrka
633,2024-09-13 01:00:00.000000,Zamračené,10.4,2024-09-13 10:25:00.000000,Mierne sneženie
634,2024-08-10 01:00:00.000000,Slnečno,27.5,2024-08-10 13:15:00.000000,Horúčavy
635,2024-08-27 01:00:00.000000,Slnečno,15.3,2024-08-27 11:05:00.000000,Horúčavy
636,2024-05-26 01:00:00.000000,Hmla,14.4,2024-05-26 08:30:00.000000,Dážď
637,2024-12-13 01:00:00.000000,Poľadovica,-5.8,2024-12-13 06:38:00.000000,Zamračené
638,2024-10-13 01:00:00.000000,Veterno,9.7,2024-10-13 06:57:00.000000,Zamračené
639,2024-06-20 01:00:00.000000,Letná búrka,18.8,2024-06-20 08:54:00.000000,Sucho
640,2024-06-02 01:00:00.000000,Horúčavy,35.5,2024-06-02 07:14:00.000000,Dusno
641,2024-07-12 01:00:00.000000,Dusno,37.3,2024-07-12 17:17:00.000000,Letná búrka
642,2024-05-09 01:00:00.000000,Búrky,9.9,2024-05-09 12:40:00.000000,Hmla
643,2024-02-27 01:00:00.000000,Mráz,-10.8,2024-02-27 14:28:00.000000,Husté sneženie
644,2024-02-11 01:00:00.000000,Poľadovica,-0.9,2024-02-11 17:54:00.000000,Zamračené
645,2024-09-29 01:00:00.000000,Hmla,1.3,2024-09-29 08:49:00.000000,Daždivo
646,2024-03-28 01:00:00.000000,Búrky,2.4,2024-03-28 10:10:00.000000,Hmla
647,2024-12-09 01:00:00.000000,Sneženie,-7.8,2024-12-09 11:11:00.000000,Mráz
648,2024-04-30 01:00:00.000000,Hmla,7.1,2024-04-30 09:37:00.000000,Dážď
649,2024-12-02 01:00:00.000000,Husté sneženie,-12.6,2024-12-02 17:10:00.000000,Poľadovica
650,2024-09-08 01:00:00.000000,Hmla,13.2,2024-09-08 12:20:00.000000,Daždivo
651,2024-11-20 01:00:00.000000,Veterno,13.4,2024-11-20 10:15:00.000000,Zamračené
652,2024-03-11 01:00:00.000000,Prehánky,12.9,2024-03-11 14:45:00.000000,Polooblačno
653,2024-07-04 01:00:00.000000,Letná búrka,22.6,2024-07-04 12:52:00.000000,Sucho
654,2024-05-28 01:00:00.000000,Prehánky,15.1,2024-05-28 15:34:00.000000,Polooblačno
655,2024-03-27 01:00:00.000000,Polooblačno,8.4,2024-03-27 16:37:00.000000,Búrky
656,2024-09-11 01:00:00.000000,Daždivo,3.7,2024-09-11 14:26:00.000000,Veterno
657,2024-04-24 01:00:00.000000,Polooblačno,19.6,2024-04-24 16:48:00.000000,Búrky
658,2024-04-22 01:00:00.000000,Polooblačno,0.1,2024-04-22 06:18:00.000000,Búrky
659,2024-04-25 01:00:00.000000,Prehánky,6.8,2024-04-25 13:42:00.000000,Polooblačno
660,2024-03-04 01:00:00.000000,Hmla,14.6,2024-03-04 09:19:00.000000,Dážď
661,2024-03-19 01:00:00.000000,Búrky,16.8,2024-03-19 12:53:00.000000,Hmla
662,2024-08-11 01:00:00.000000,Dusno,18.6,2024-08-11 17:11:00.000000,Letná búrka
663,2024-09-08 01:00:00.000000,Daždivo,13.3,2024-09-08 06:07:00.000000,Veterno
664,2025-01-26 01:00:00.000000,Sneženie,-7,2025-01-26 10:42:00.000000,Mráz
665,2024-11-17 01:00:00.000000,Veterno,7.7,2024-11-17 17:40:00.000000,Zamračené
666,2024-02-14 01:00:00.000000,Husté sneženie,-13,2024-02-14 13:42:00.000000,Poľadovica
667,2024-12-29 01:00:00.000000,Sneženie,-0.2,2024-12-29 16:21:00.000000,Mráz
668,2024-10-05 01:00:00.000000,Veterno,4,2024-10-05 17:29:00.000000,Zamračené
669,2024-08-12 01:00:00.000000,Horúčavy,37.7,2024-08-12 07:38:00.000000,Dusno
670,2024-10-29 01:00:00.000000,Daždivo,11.4,2024-10-29 16:33:00.000000,Veterno
671,2024-08-22 01:00:00.000000,Letná búrka,15.7,2024-08-22 07:15:00.000000,Sucho
672,2024-12-24 01:00:00.000000,Zamračené,-2.3,2024-12-24 08:18:00.000000,Sneženie
673,2024-11-02 01:00:00.000000,Hmla,5.6,2024-11-02 10:32:00.000000,Daždivo
674,2024-12-14 01:00:00.000000,Sneženie,-8.8,2024-12-14 07:18:00.000000,Mráz
675,2024-05-27 01:00:00.000000,Búrky,17.1,2024-05-27 11:55:00.000000,Hmla
676,2024-08-23 01:00:00.000000,Slnečno,23.6,2024-08-23 13:14:00.000000,Horúčavy
677,2025-01-24 01:00:00.000000,Zamračené,-1.5,2025-01-24 09:49:00.000000,Sneženie
678,2024-04-22 01:00:00.000000,Dážď,15.7,2024-04-22 09:56:00.000000,Prehánky
679,2024-06-29 01:00:00.000000,Letná búrka,26.2,2024-06-29 13:54:00.000000,Sucho
680,2024-04-14 01:00:00.000000,Dážď,4.7,2024-04-14 12:55:00.000000,Prehánky
681,2024-05-25 01:00:00.000000,Búrky,15.4,2024-05-25 07:58:00.000000,Hmla
682,2024-05-27 01:00:00.000000,Búrky,11.6,2024-05-27 10:05:00.000000,Hmla
683,2024-03-22 01:00:00.000000,Prehánky,12.7,2024-03-22 15:09:00.000000,Polooblačno
684,2024-08-11 01:00:00.000000,Dusno,35.1,2024-08-11 14:38:00.000000,Letná búrka
685,2024-10-10 01:00:00.000000,Mierne sneženie,12.2,2024-10-10 07:28:00.000000,Hmla
686,2024-04-13 01:00:00.000000,Búrky,16.8,2024-04-13 10:36:00.000000,Hmla
687,2024-05-24 01:00:00.000000,Prehánky,16.6,2024-05-24 16:35:00.000000,Polooblačno
688,2024-08-25 01:00:00.000000,Horúčavy,36,2024-08-25 10:03:00.000000,Dusno
689,2024-02-21 01:00:00.000000,Mráz,-0.2,2024-02-21 09:14:00.000000,Husté sneženie
690,2024-10-16 01:00:00.000000,Veterno,1,2024-10-16 08:52:00.000000,Zamračené
691,2024-12-26 01:00:00.000000,Poľadovica,-11.7,2024-12-26 07:31:00.000000,Zamračené
692,2024-11-03 01:00:00.000000,Zamračené,8.1,2024-11-03 12:40:00.000000,Mierne sneženie
693,2024-06-25 01:00:00.000000,Horúčavy,28.9,2024-06-25 12:22:00.000000,Dusno
694,2024-12-12 01:00:00.000000,Zamračené,1.5,2024-12-12 08:20:00.000000,Sneženie
695,2024-11-30 01:00:00.000000,Daždivo,7.6,2024-11-30 15:40:00.000000,Veterno
696,2024-12-22 01:00:00.000000,Husté sneženie,-14.8,2024-12-22 07:09:00.000000,Poľadovica
697,2024-03-04 01:00:00.000000,Búrky,2.1,2024-03-04 13:22:00.000000,Hmla
698,2024-05-04 01:00:00.000000,Prehánky,15.7,2024-05-04 06:12:00.000000,Polooblačno
699,2024-05-02 01:00:00.000000,Búrky,9.3,2024-05-02 15:24:00.000000,Hmla
700,2024-05-17 01:00:00.000000,Polooblačno,19,2024-05-17 13:36:00.000000,Búrky
701,2025-02-05 01:00:00.000000,Mráz,2.8,2025-02-05 11:52:00.000000,Husté sneženie
702,2024-09-18 01:00:00.000000,Daždivo,1,2024-09-18 14:34:00.000000,Veterno
703,2024-08-13 01:00:00.000000,Letná búrka,26.3,2024-08-13 09:20:00.000000,Sucho
704,2024-12-28 01:00:00.000000,Mráz,-11.6,2024-12-28 14:29:00.000000,Husté sneženie
705,2024-11-30 01:00:00.000000,Veterno,7.3,2024-11-30 06:10:00.000000,Zamračené
706,2024-06-07 01:00:00.000000,Letná búrka,28.1,2024-06-07 10:31:00.000000,Sucho
707,2025-01-09 01:00:00.000000,Husté sneženie,0.7,2025-01-09 16:07:00.000000,Poľadovica
708,2025-01-21 01:00:00.000000,Poľadovica,-14.9,2025-01-21 07:31:00.000000,Zamračené
709,2024-07-27 01:00:00.000000,Horúčavy,33.5,2024-07-27 06:57:00.000000,Dusno
710,2024-11-12 01:00:00.000000,Veterno,5.2,2024-11-12 17:09:00.000000,Zamračené
711,2024-10-27 01:00:00.000000,Daždivo,0.2,2024-10-27 06:32:00.000000,Veterno
712,2024-12-16 01:00:00.000000,Poľadovica,-3.7,2024-12-16 12:08:00.000000,Zamračené
713,2024-10-11 01:00:00.000000,Mierne sneženie,1.6,2024-10-11 14:40:00.000000,Hmla
714,2024-12-24 01:00:00.000000,Husté sneženie,-14.4,2024-12-24 14:16:00.000000,Poľadovica
715,2025-01-12 01:00:00.000000,Mráz,1,2025-01-12 07:48:00.000000,Husté sneženie
716,2025-01-17 01:00:00.000000,Poľadovica,-7,2025-01-17 16:19:00.000000,Zamračené
717,2024-06-25 01:00:00.000000,Letná búrka,30.2,2024-06-25 11:22:00.000000,Sucho
718,2024-04-01 01:00:00.000000,Prehánky,8.6,2024-04-01 11:29:00.000000,Polooblačno
719,2024-05-30 01:00:00.000000,Polooblačno,18.5,2024-05-30 17:10:00.000000,Búrky
720,2024-08-06 01:00:00.000000,Letná búrka,30.1,2024-08-06 14:33:00.000000,Sucho
