1347,Euthyrox 75 mikrogramov,O,tbl 100x75 µg (blis.PVC/Al),H03AA01,9,A,1.16
1348,Euthyrox 88 mikrogramov,O,tbl 100x88 µg (blis.PVC/Al),H03AA01,28,N,2.11
1349,Everio 25 mikrogramov/125 mikrogramov/dávka inhalačná suspenzia v tlakovom obale,2G,sus inh 1x120 dávok (nád.tlak.Al),R03AK06,31,N,8.62
1350,Everio 25 mikrogramov/250 mikrogramov/dávka inhalačná suspenzia v tlakovom obale,2G,sus inh 1x120 dávok (nád.tlak.Al),R03AK06,29,A,6.85
1351,Everio 25 mikrogramov/50 mikrogramov/dávka inhalačná suspenzia v tlakovom obale,1G,sus inh 1x120 dávok (nád.tlak.Al),R03AK06,33,N,7.48
1352,Everio Airmaster 50 mikrogramov/100 mikrogramov,2G,plv ido 1x60 dávok (blis.Al/OPA/PVC+ inhalátor),R03AK06,6,A,1.94
1353,Everio Airmaster 50 mikrogramov/250 mikrogramov,3G,plv ido 1x60 dávok (blis.Al/OPA/PVC+inhalátor),R03AK06,12,N,1.8
1354,Everio Airmaster 50 mikrogramov/500 mikrogramov,3G,plv ido 1x60 dávok (blis.Al/OPA/PVC+ inhalátor),R03AK06,54,N,6.37
1355,Everolimus Krka 10 mg,1G,tbl 30x10 mg (blis.OPA/Al/PVC/Al),L01EG02,42,A,7.71
1356,Everolimus Krka 5 mg,1G,tbl 30x5 mg (blis.OPA/Al/PVC/Al),L01EG02,29,A,3.26
1357,Everolimus Mylan 5 mg tablety,1G,tbl 30x5 mg (blis.OPA/Al/PVC/Al),L01EG02,97,N,14.79
1358,Everolimus Sandoz 10 mg,1G,tbl 30x10 mg (blis.Al/PA/Al/PVC),L01EG02,63,N,5.57
1359,Everolimus Sandoz 5 mg,1G,tbl 30x5 mg (blis.Al/PA/Al/PVC),L01EG02,37,A,13.87
1360,EVEROLIMUS STADA 10 mg,1G,tbl 30x1x10 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.),L01EG02,46,A,14.99
1361,EVEROLIMUS STADA 5 mg,1G,tbl 30x1x5 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.),L01EG02,88,N,4.07
1362,Everolimus Teva 10 mg,1G,tbl 30x1x10 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.),L01EG02,48,N,10.1
1363,Everolimus Teva 5 mg,1G,tbl 30x1x5 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.),L01EG02,96,A,12.21
1364,Everolimus Vipharm 10 mg tablety,1G,tbl 30x10 mg (blis. Al/Al),L01EG02,43,A,9.79
1365,Everolimus Vipharm 5 mg tablety,1G,tbl 30x5 mg (blis. Al/Al),L01EG02,45,N,1.58
1366,Eviplera 200 mg/25 mg/245 mg filmom obalené tablety,O,tbl flm 30x200 mg/25 mg/245 mg (fľ.HDPE),J05AR08,72,N,5.87
1367,Evrenzo 100 mg filmom obalené tablety,O,tbl flm 12x1x100 mg (blis.PVC/Al),B03XA05,67,N,1.25
1368,Evrenzo 150 mg filmom obalené tablety,O,tbl flm 12x1x150 mg (blis.PVC/Al),B03XA05,51,A,10.5
1369,Evrenzo 20 mg filmom obalené tablety,O,tbl flm 12x1x20 mg (blis.PVC/Al),B03XA05,17,A,7.86
1,"0,9 % Chlorid sodný Baxter-Viaflo",O,sol inf 20x500 ml (vak POF/PA),B05BB01,29,N,6.42
2,"0,9 % Chlorid sodný Baxter-Viaflo",O,sol inf 30x250 ml (vak POF/PA),B05BB01,18,N,12
3,"0,9 % Chlorid sodný Baxter-Viaflo",O,sol inf 50x100 ml (vak POF/PA),B05BB01,42,N,13.59
4,"0,9% SODIUM CHL.IN W.F.I.FRESENIUS",2G,sol inf 10x1000 ml (fľ.LDPE),B05BB01,14,A,5.12
5,"0,9% SODIUM CHL.IN W.F.I.FRESENIUS",2G,sol inf 20x250 ml (fľ.LDPE),B05BB01,68,A,8.13
6,10 % GLUCOSE IN WATER FOR INJECTION FRESENIUS,2G,sol inf 10x500 ml (LDPE fľa.),B05BA03,77,A,6.09
7,5 % GLUCOSE IN WATER FOR INJECTION FRESENIUS,2G,sol inf 10x500 ml (LDPE fľa.),B05BA03,94,N,4.32
8,Abaktal 400 mg,1G,tbl flm 10x400 mg (blis.),J01MA03,52,A,13.01
9,ABASAGLAR 100 jednotiek/ml injekčný roztok naplnený v injekčnom pere,1B,sol inj 10(2x5)x3 ml (pero napl.skl.- KwikPen-1-80 inj.jed.-multibal.),A10AE04,52,A,1.15
10,Abevmy 25 mg/ml infúzny koncentrát,2B,con inf 1x16 ml/400 mg (liek.inj.skl.),L01FG01,79,A,1.46
11,Abevmy 25 mg/ml infúzny koncentrát,2B,con inf 1x4 ml/100 mg (liek.inj.skl.),L01FG01,25,A,9.71
12,Abilify Maintena 400 mg prášok a disperzné prostredie na injekčnú suspenziu s predĺženým uvoľňovaním,O,plu igf 1x400 mg+1x2 ml+samost.bal.(liek.inj.skl.),N05AX12,41,N,3.23
1001,Dereflin 40 mg tvrdé gastrorezistentné kapsuly,2G,cps end 98x40 mg (blis. PA/Al/PVC/Al),A02BC05,13,A,13.19
1002,Derin 100 mg filmom obalené tablety,1G,tbl flm 30(10x3)x100 mg (blis.PVC/Al),N05AH04,41,N,6.78
1003,Derin 200 mg filmom obalené tablety,1G,tbl flm 60(10x6)x200 mg (blis.PVC/Al),N05AH04,83,N,10.4
1004,Derin 25 mg filmom obalené tablety,2G,tbl flm 30 (10x3)x25 mg,N05AH04,59,N,12.75
1005,Derin 300 mg filmom obalené tablety,1G,tbl flm 60(10x6)x300 mg (blis.PVC/Al),N05AH04,21,A,1.72
1006,Derin Prolong 200 mg,1G,tbl plg 60x200 mg (blis.PVC/PCTFE/Al),N05AH04,52,A,5.39
1007,Derin Prolong 300 mg,1G,tbl plg 60x300 mg (blis.PVC/PCTFE/Al),N05AH04,9,N,2.94
1008,Desloratadin Xantis 5 mg,1G,tbl 100x5 mg (blis.OPA/Al/PVC/Al),R06AX27,89,A,13.72
1009,Desloratadin Xantis 5 mg,1G,tbl 30x5 mg (blis.OPA/Al/PVC/Al),R06AX27,98,A,10.49
1010,Desloratadin Xantis 5 mg,1G,tbl 50x5 mg (blis.OPA/Al/PVC/Al),R06AX27,73,N,5.2
1011,"Desloratadin Zentiva 0,5 mg/ml perorálny roztok",2G,sol por 1x120 ml/60 mg (fľ.skl.jant.),R06AX27,32,N,10.68
1012,Desloratadin Zentiva 5 mg filmom obalené tablety,1G,tbl flm 100x5 mg (blis.PCTFE/PVC/Al),R06AX27,50,N,13.84
1013,Desloratadin Zentiva 5 mg filmom obalené tablety,1G,tbl flm 30x5 mg (blis.PCTFE/PVC/Al),R06AX27,8,A,10.19
1014,Desloratadin Zentiva 5 mg filmom obalené tablety,1G,tbl flm 50x5 mg (blis.PCTFE/PVC/Al),R06AX27,50,N,1.46
1015,Desloratadine  Actavis 5 mg filmom obalené tablety,1G,tbl flm 100x5 mg (blis.OPA/Al/PVC/Al),R06AX27,71,N,8.85
1016,Desloratadine  Actavis 5 mg filmom obalené tablety,1G,tbl flm 30x5 mg (blis.OPA/Al/PVC/Al),R06AX27,64,A,12.79
1017,Desloratadine  Actavis 5 mg filmom obalené tablety,1G,tbl flm 50x5 mg (blis.OPA/Al/PVC/Al),R06AX27,13,A,4.25
1018,Desloratadine Glenmark 5 mg tablety,2G,tbl 100x5 mg (blis.Al/Al),R06AX27,80,A,6.27
1019,Detreman 1 mg tablety,1G,tbl 28x1 mg (blis.PA/Al/PVC/Al),N04BD02,65,A,5.28
1020,Dexadol 25 mg gro por,O,gro por 10x25 mg (vre. Al/PE),M01AE17,50,A,7.82
1021,Dexadol 25 mg gro por,O,gro por 20x25 mg (vre. Al/PE),M01AE17,69,N,12.16
1022,Dexa-Gentamicin,O,int opo 1x5 ml (fľ.PE),S01CA01,3,N,14.7
1023,Dexa-Gentamicin,O,"ung oph 1x2,5 g (tuba Al)",S01CA01,19,N,12.74
1024,DEXAMED,1G,sol inj 10x2 ml/8 mg (amp.skl.hnedá),H02AB02,33,N,13.98
1025,Dexametazón Krka 20 mg tablety,1G,tbl 20x20 mg (blis.OPA/Al/PVC/Al),H02AB02,14,A,12.57
1026,Dexametazón Krka 4 mg tablety,1G,tbl 20x4 mg (blis.OPA/Al/PVC/Al),H02AB02,38,N,5.26
1027,Dexamethasone Noridem 4 mg/ml injekčný roztok,2G,sol inj 10x2 ml (amp.skl.),H02AB02,28,A,13.82
1028,Dexamethasone Noridem 4 mg/ml injekčný roztok,2G,sol inj 50x2 ml (amp.skl.),H02AB02,56,A,6.51
1029,DHC Continus 120 mg,O,tbl mod 60x120 mg (blis.PVC/Al),N02AA08,16,N,8.17
1030,DHC Continus 60 mg,O,tbl mod 60x60 mg (blis.PVC/Al),N02AA08,86,N,11.97
1031,DHC Continus 90 mg,O,tbl mod 60x90 mg (blis.PVC/Al),N02AA08,68,A,3.02
1032,DIACORDIN 120 RETARD,1G,tbl plg 30x120 mg (blis. PVC/Al),C08DB01,84,N,3.75
1033,DIACORDIN 90 RETARD,1G,tbl plg 30x90 mg (blis. PVC/Al),C08DB01,49,A,5.65
1034,DIAPREL MR 60 mg,O,tbl mod 120x 60 mg (blis.PVC/Al),A10BB09,71,A,10.39
1035,DIAPREL MR 60 mg,O,tbl mod 60x 60 mg (blis.PVC/Al),A10BB09,84,N,1.82
1036,Diazepam Desitin rectal tube 10 mg,1G,"sol rec 5x2,5 ml/10 mg (tuba PE)",N05BA01,5,A,10.82
1037,Diazepam Desitin rectal tube 5 mg,1G,"sol rec 5x2,5 ml/5 mg (tuba PE)",N05BA01,68,A,2.6
1038,DICARTIL 10 mg/10 mg filmom obalené tablety,O,tbl flm 28x10 mg/10 mg (blis.PA/Al/PVC),C10BX03,98,N,11.73
1039,DICARTIL 5 mg/10 mg filmom obalené tablety,O,tbl flm 28x5 mg/10 mg (blis.PA/Al/PVC),C10BX03,80,N,14.3
1040,dicetel 100 mg,O,tbl flm 20x100 mg (blis.PVC/Al),A03AX04,21,N,1.36
1041,Diclac retard,1G,tbl plg 20x100 mg (blis.PP/Al),M01AB05,85,N,5.46
1042,Diclofenac Duo PharmaSwiss 75 mg,1G,cps mod 30x75 mg (blis.PVC/PVDC/Al),M01AB05,95,A,6.18
1043,Diclovit,O,"cps mod 30x50 mg/50 mg/50 mg/0,25 mg (blis.PVC/PE/PVDC/Al)",M01AB55,60,A,6.7
1044,Dicuno 50 mg filmom obalené tablety,1G,tbl flm 30x50 mg (blis.PVC/PVDC/Al),M01AB05,58,A,1.6
1045,DICYNONE 250,O,sol inj 4x2 ml/250 mg (amp.skl.),B02BX01,8,A,12.46
1046,DICYNONE 500 kapsuly,O,cps dur 30x500 mg (blis.PVC/PVDC),B02BX01,23,N,7.44
1047,Differine krém,1G,crm der 1x30 g (tuba Al),D10AD03,81,N,2.91
1048,DIFLUCAN 150 mg,O,cps dur 1x150 mg (blis.PVC/Al-priehľ.),J02AC01,5,N,11.38
1049,DIFLUCAN P.O.S. 10 mg/ml,O,"plu por 1x24,4 g (fľ.HDPE+odm.lyžička alebo striekačka)",J02AC01,70,N,11.37
1050,DIFLUCAN P.O.S. 40 mg/ml,O,"plu por 1x24,4 g (fľ.HDPE+odm.lyžička alebo striekačka)",J02AC01,49,N,8.6
1051,"Digoxin 0,125 Léčiva",1G,"tbl 30x0,125 mg (blis. PVC/Al)",C01AA05,71,N,5.83
1052,"Digoxin 0,250 Léčiva",1G,"tbl 30x0,250 mg (blis. PVC/Al)",C01AA05,26,A,12.31
1053,DILUMED,1G,tbl 30x100 mg (blis.PVC/Al),M01AX17,23,N,1.16
1054,Diluran,1G,tbl 20x250 mg (blis. Al/PVC),S01EC01,95,A,7.45
1055,Dimethyl fumarate Neuraxpharm 120 mg tvrdé gastrorezistentné kapsuly,1G,cps end 14x120 mg (blis.Al/PVC/PVDC),L04AX07,16,A,2.21
1056,Dimethyl fumarate Neuraxpharm 240 mg tvrdé gastrorezistentné kapsuly,1G,cps end 56x240 mg (blis.Al/PVC/PVDC),L04AX07,33,A,10.76
1057,DIOMPRAZ 75 mg/20 mg tvrdé kapsuly s riadeným uvoľňovaním,O,cps mdd 30x75 mg/20 mg (blis.OPA/Al/PVC/Al),M01AB55,19,N,11.03
1058,"Diphereline 0,1 mg",O,"plv iol 7x0,1 mg+7xsolv. (liek.inj.+amp.skl.)",L02AE04,34,A,9.22
1059,"Diphereline S.R. 11,25 mg",O,"plv iud 1x11,25 mg+1x2 ml disp.prostr. (liek.inj.+amp.skl.)",L02AE04,17,A,4.26
1060,"Diphereline S.R. 3,75 mg",O,"plv iud 1x3,75 mg+1xdisp.prostr. (liek.inj.skl.+amp.skl.)",L02AE04,44,N,8.89
1061,"Dipperam HCT 10 mg/160 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 28x10 mg/160 mg/12,5 mg (blis.PVC/PVDC/Al)",C09DX01,27,N,2.36
1062,Dipperam HCT 10 mg/160 mg/25 mg filmom obalené tablety,1G,tbl flm 28x10 mg/160 mg/25 mg (blis.PVC/PVDC/Al),C09DX01,94,N,4.96
1063,"Dipperam HCT 5 mg/160 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 28x5 mg/160 mg/12,5 mg (blis.PVC/PVDC/Al)",C09DX01,25,A,2.48
1064,Dipperam HCT 5 mg/160 mg/25 mg filmom obalené tablety,1G,tbl flm 28x5 mg/160 mg/25 mg (blis.PVC/PVDC/Al),C09DX01,48,N,1.14
1065,Dironorm tablety,O,tbl 90x10 mg/5 mg (blis.PVC/PE/PVDC/Al),C09BB03,84,N,14.59
1066,DIROTON 10 mg,1G,tbl 28x10 mg (blis.PVC/Al),C09AA03,54,A,11.5
1067,DIROTON 20 mg,1G,tbl 28x20 mg (blis.PVC/Al),C09AA03,89,N,9.66
1068,DIROTON 5 mg,1G,tbl 28x5 mg (blis.PVC/Al),C09AA03,44,N,11.78
1069,"Diroton plus H 10 mg/12,5 mg tablety",1G,"tbl 30(3x10)x10 mg/12,5 mg (blis.PVC/Al)",C09BA03,88,A,12.19
1070,"Diroton plus H 20 mg /12,5 mg tablety",1G,"tbl 30(3x10)x20 mg/12,5 mg (blis.PVC/Al)",C09BA03,15,N,8.15
1071,DISULONE 100 au protoxalate de fer,O,tbl 100,J04BA02,17,A,13.15
1072,DITHIADEN,O,tbl 20x2 mg (blis. PVC/Al),R06AX,60,A,8.71
1073,DITHIADEN INJ,O,sol inj 10x2 ml/1 mg (amp. skl.),R06AX,14,N,11.46
1074,Docetaxel Accord 20 mg/1 ml infúzny koncentrát,1G,con inf 1x1 ml/20 mg (liek.inj.skl.),L01CD02,70,A,10.98
1075,Docetaxel Accord 80 mg/4 ml infúzny koncentrát,1G,con inf 1x4 ml/80 mg (liek.inj.skl.),L01CD02,48,N,8.43
1076,Docetaxel Ebewe 10 mg/ ml infúzny koncentrát,1G,con inf 1x2 ml/20 mg (liek.inj.skl),L01CD02,4,A,9.62
1077,Docetaxel Ebewe 10 mg/ ml infúzny koncentrát,1G,con inf 1x8 ml/80 mg (liek.inj.skl),L01CD02,16,A,7.14
1078,DOCETAXEL KABI 20 mg/1 ml infúzny koncentrát,1G,con inf 1x1 ml/20 mg (liek.inj.skl.),L01CD02,42,N,14.66
1079,DOCETAXEL KABI 80 mg/4 ml infúzny koncentrát,1G,con inf 1x4 ml/80 mg (liek.inj.skl.),L01CD02,63,A,10.36
1080,Donepezil Accord 10 mg filmom obalené tablety,1G,tbl flm 28x10 mg (blis.PVC/Al),N06DA02,51,N,8.94
1081,Donepezil Accord 5 mg filmom obalené tablety,1G,tbl flm 28x5 mg (blis.PVC/Al),N06DA02,51,N,12.85
1082,Donepezil Mylan 10 mg orodispergovateľné tablety,1G,tbl oro 28x10 mg (blis.OPA/Al/PVC/Al),N06DA02,50,N,4.65
1083,Donepezil Mylan 5 mg orodispergovateľné tablety,1G,tbl oro 28x5 mg (blis.OPA/Al/PVC/Al),N06DA02,90,N,3.82
1084,Donesyn 10 mg,1G,tbl flm 28x10 mg (blis.PVC/Al),N06DA02,92,A,8.33
1085,Donesyn 10 mg,1G,tbl flm 98x10 mg (blis.PVC/Al),N06DA02,36,A,4.42
1086,Donesyn 5 mg,1G,tbl flm 28x5 mg (blis.PVC/Al),N06DA02,27,A,4.23
1087,Donesyn 5 mg,1G,tbl flm 98x5 mg (blis.PVC/Al),N06DA02,98,N,13.52
1088,Dopegyt,1G,tbl 50x250 mg,C02AB01,64,A,1.68
1089,Doptelet 20 mg filmom obalené tablety,O,tbl flm 10x20 mg (blis.Al/Al),B02BX08,88,A,4.61
1090,Doptelet 20 mg filmom obalené tablety,O,tbl flm 15x20 mg (blis.Al/Al),B02BX08,21,A,5.08
1091,Doptelet 20 mg filmom obalené tablety,O,tbl flm 30x20 mg (blis.Al/Al),B02BX08,78,N,4.71
1092,"Doreta 37,5 mg/325 mg dispergovateľné tablety",3G,"tbl dsp 20x37,5 mg/325 mg (blis.OPA/Al/PVC//Al)",N02AJ13,31,A,3.95
1093,"Doreta 37,5 mg/325 mg dispergovateľné tablety",3G,"tbl dsp 50x37,5 mg/325 mg (blis.OPA/Al/PVC//Al)",N02AJ13,52,A,1.69
1094,"Doreta 37,5 mg/325 mg filmom obalené tablety",1G,"tbl flm 20x37,5 mg/325 mg (blis.PVC/PVDC/Al-nepriehľ.)",N02AJ13,76,N,1.77
1095,"Doreta 37,5 mg/325 mg filmom obalené tablety",1G,"tbl flm 60x37,5 mg/325 mg (blis.PVC/PVDC/Al-nepriehľ.)",N02AJ13,9,A,1.5
1096,"Doreta 37,5 mg/325 mg filmom obalené tablety",1G,"tbl flm 90x37,5 mg/325 mg (blis.PVC/PVDC/Al-nepriehľ.)",N02AJ13,4,N,5.05
1097,Doreta 75 mg/650 mg filmom obalené tablety,1G,tbl flm 30x75 mg/650 mg (blis.PVC/PVDC/Al),N02AJ13,7,N,2.68
1098,Doreta 75 mg/650 mg filmom obalené tablety,2G,tbl flm 60x75 mg/650mg (blis.PVC/PVDC/papier/Al),N02AJ13,53,A,1.36
1099,Doreta SR 75 mg/650 mg tablety s predĺženým uvoľňovaním,1G,tbl plg 30x75 mg/650 mg (blis.PVC/PVDC/papier/Al),N02AJ13,50,A,12.39
1100,Dorzolamid Olikla 20 mg/ml očná roztoková instilácia,2G,int opo 1x5 ml (fľ.PE s kvapkadlom),S01EC03,75,N,9.66
1101,Dorzolamid/timolol Olikla 20 mg/ml + 5 mg/ml očná roztoková instilácia,2G,int opo 1x5 ml (fľ.PE s kvapkadlom),S01ED51,32,A,14.59
1102,Dorzolamid/timolol Olikla 20 mg/ml + 5 mg/ml očná roztoková instilácia,1G,int opo 3x5 ml (fľ.PE s kvapkadlom),S01ED51,14,N,1.07
1103,"DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách",O,sol inj 1x10 ml (liek.inj.skl.),V08CA02,47,N,5.09
1104,"DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách",O,sol inj 1x15 ml (liek.inj.skl.),V08CA02,99,A,7.83
1105,"DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách",O,sol inj 1x20 ml (liek.inj.skl.),V08CA02,38,A,4.58
1106,Dovato 50 mg/300 mg filmom obalené tablety,O,tbl flm 30x50 mg/300 mg (fľ.HDPE),J05AR25,75,A,13.26
1107,"Doxorubicin  ""Ebewe"" 2 mg/ml",1G,sol ijf 1x25 ml/50 mg (liek.inj.skl.),L01DB01,83,N,6.93
1108,"Doxorubicin  ""Ebewe"" 2 mg/ml",1G,sol ijf 1x5 ml/10 mg (liek.inj.skl.),L01DB01,7,A,7.3
1109,Doxorubicin medac 2 mg/ml infúzny roztok,1G,sol inf 1x25 ml/50 mg (liek.skl.),L01DB01,77,N,7.11
1110,Doxyhexal 200 Tabs,1G,tbl 10x200 mg (blis.PP/Al),J01AA02,70,A,11.57
1111,Doxyhexal 200 Tabs,1G,tbl 20x200 mg (blis.PP/Al),J01AA02,54,N,4.7
1112,Doxyhexal Tabs,1G,tbl 20x100 mg (blis.PP/Al),J01AA02,88,N,8.89
1113,Dozotens 20 mg/ml,1G,int opo 1x5 ml/100 mg (liek.PE),S01EC03,90,A,12.87
1114,Duac Gel,O,gel der 1x15 g (tuba Al),D10AF51,51,N,7.08
1115,Duac Gel,O,gel der 1x30 g (tuba Al),D10AF51,95,A,2.22
1116,Duaklir Genuair 340 mikrogramov/12 mikrogramov inhalačný prášok,O,plv inh 1x60 dávok (inh.plast/nehrdz.oceľ),R03AL05,74,A,5.78
